# Generation                                                Route                                                 L(1)
     164       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     165       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     166       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     167       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     168       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     169       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     170       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     171       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     172       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     173       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     174       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     175       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     176       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     177       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     178       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     179       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     180       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     181       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     182       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
