#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         393     1.68869     1.66026  0.00146791
         394     1.68851     1.66033  0.00146593
         395     1.68832      1.6604  0.00146393
         396     1.68814     1.66047  0.00146191
         397     1.68796     1.66054  0.00145987
         398     1.68779     1.66061   0.0014578
         399     1.68761     1.66068  0.00145572
         400     1.68744     1.66075  0.00145361
         401     1.68727     1.66081  0.00145149
         402      1.6871     1.66088  0.00144936
         403     1.68694     1.66094   0.0014472
         404     1.68678     1.66101  0.00144503
         405     1.68662     1.66107  0.00144285
         406     1.68647     1.66113  0.00144065
         407     1.68633     1.66119  0.00143844
         408     1.68619     1.66126  0.00143622
         409     1.68606     1.66132  0.00143399
         410     1.68593     1.66138  0.00143174
         411     1.68581     1.66144  0.00142949
         412      1.6857     1.66149  0.00142724
         413     1.68559     1.66155  0.00142497
         414      1.6855     1.66161   0.0014227
         415      1.6854     1.66167  0.00142043
         416     1.68532     1.66173  0.00141815
         417     1.68524     1.66178  0.00141587
         418     1.68518     1.66184  0.00141359
         419     1.68511     1.66189  0.00141131
         420     1.68506     1.66195  0.00140903
         421       1.685       1.662  0.00140674
         422     1.68496     1.66206  0.00140446
         423     1.68492     1.66211  0.00140218
         424     1.68488     1.66216   0.0013999
         425     1.68485     1.66222  0.00139763
         426     1.68482     1.66227  0.00139535
         427      1.6848     1.66232  0.00139308
         428     1.68478     1.66238  0.00139081
         429     1.68476     1.66243  0.00138855
         430     1.68475     1.66248  0.00138629
         431     1.68474     1.66253  0.00138404
         432     1.68474     1.66258  0.00138179
         433     1.68474     1.66263  0.00137954
         434     1.68476     1.66269   0.0013773
         435     1.68478     1.66274  0.00137507
         436     1.68481     1.66279  0.00137285
         437     1.68486     1.66284  0.00137064
         438     1.68492     1.66289  0.00136844
         439       1.685     1.66294  0.00136625
         440      1.6851     1.66299  0.00136407
         441     1.68522     1.66304  0.00136191
         442     1.68536     1.66309  0.00135976
         443     1.68553     1.66314  0.00135764
         444     1.68573     1.66319  0.00135553
         445     1.68596     1.66324  0.00135345
         446     1.68622     1.66329   0.0013514
         447     1.68651     1.66335  0.00134937
         448     1.68685      1.6634  0.00134738
         449     1.68721     1.66345  0.00134542
         450     1.68762     1.66351   0.0013435
         451     1.68806     1.66356  0.00134162
         452     1.68853     1.66361  0.00133979
         453     1.68905     1.66367  0.00133801
         454     1.68959     1.66373  0.00133628
         455     1.69017     1.66379  0.00133461
         456     1.69077     1.66385  0.00133299
         457     1.69141     1.66391  0.00133144
         458     1.69206     1.66397  0.00132995
         459     1.69273     1.66403  0.00132853
         460     1.69342     1.66409  0.00132718
         461     1.69412     1.66416   0.0013259
         462     1.69482     1.66423  0.00132469
         463     1.69552     1.66429  0.00132355
         464     1.69621     1.66436  0.00132248
         465      1.6969     1.66443  0.00132149
         466     1.69756      1.6645  0.00132056
         467      1.6982     1.66457   0.0013197
         468     1.69882     1.66465  0.00131891
         469      1.6994     1.66472  0.00131818
         470     1.69994      1.6648   0.0013175
         471     1.70043     1.66487  0.00131687
         472     1.70088     1.66495  0.00131629
         473     1.70127     1.66503  0.00131575
         474     1.70161      1.6651  0.00131523
         475     1.70188     1.66518  0.00131474
         476     1.70209     1.66526  0.00131426
         477     1.70223     1.66534  0.00131379
         478      1.7023     1.66541  0.00131332
         479      1.7023     1.66549  0.00131283
         480     1.70222     1.66557  0.00131232
         481     1.70208     1.66564  0.00131179
         482     1.70186     1.66572  0.00131122
         483     1.70156     1.66579   0.0013106
         484      1.7012     1.66586  0.00130993
         485     1.70077     1.66594  0.00130921
         486     1.70027     1.66601  0.00130842
         487     1.69971     1.66608  0.00130756
         488      1.6991     1.66614  0.00130663
         489     1.69843     1.66621  0.00130563
         490     1.69772     1.66627  0.00130454
         491     1.69696     1.66634  0.00130338
         492     1.69617      1.6664  0.00130214
         493     1.69536     1.66646  0.00130083
         494     1.69453     1.66651  0.00129943
         495     1.69368     1.66657  0.00129797
         496     1.69284     1.66662  0.00129643
         497       1.692     1.66667  0.00129483
         498     1.69119     1.66672  0.00129316
         499     1.69039     1.66677  0.00129144
         500     1.68963     1.66681  0.00128967
         501     1.68891     1.66686  0.00128785
         502     1.68824      1.6669  0.00128599
         503     1.68763     1.66694  0.00128409
         504     1.68708     1.66698  0.00128216
         505      1.6866     1.66702  0.00128021
         506     1.68619     1.66706  0.00127824
         507     1.68586      1.6671  0.00127626
         508     1.68561     1.66713  0.00127427
         509     1.68545     1.66717  0.00127227
         510     1.68537      1.6672  0.00127028
         511     1.68538     1.66724  0.00126829
         512     1.68547     1.66728  0.00126631
         513     1.68565     1.66731  0.00126435
         514     1.68591     1.66735  0.00126241
         515     1.68624     1.66738  0.00126049
         516     1.68666     1.66742   0.0012586
         517     1.68714     1.66746  0.00125674
         518     1.68769      1.6675  0.00125492
         519     1.68831     1.66754  0.00125315
         520     1.68898     1.66758  0.00125142
         521      1.6897     1.66762  0.00124973
         522     1.69047     1.66767  0.00124811
         523     1.69129     1.66771  0.00124654
         524     1.69214     1.66776  0.00124503
         525     1.69302     1.66781  0.00124359
         526     1.69393     1.66786  0.00124221
         527     1.69485     1.66791  0.00124091
         528      1.6958     1.66796  0.00123969
         529     1.69676     1.66801  0.00123854
         530     1.69773     1.66807  0.00123747
         531      1.6987     1.66813  0.00123648
         532     1.69968     1.66819  0.00123558
         533     1.70065     1.66825  0.00123476
         534     1.70162     1.66831  0.00123403
         535     1.70259     1.66837  0.00123339
         536     1.70354     1.66844  0.00123283
         537     1.70449     1.66851  0.00123236
         538     1.70543     1.66858  0.00123198
         539     1.70635     1.66865  0.00123168
         540     1.70725     1.66872  0.00123148
         541     1.70815     1.66879  0.00123135
         542     1.70902     1.66886  0.00123132
         543     1.70988     1.66894  0.00123137
         544     1.71073     1.66902   0.0012315
         545     1.71155      1.6691  0.00123171
         546     1.71236     1.66917    0.001232
         547     1.71315     1.66925  0.00123237
         548     1.71393     1.66934  0.00123281
         549     1.71468     1.66942  0.00123333
         550     1.71542      1.6695  0.00123392
         551     1.71615     1.66959  0.00123458
         552     1.71685     1.66967  0.00123531
         553     1.71754     1.66976   0.0012361
         554     1.71821     1.66985  0.00123696
         555     1.71887     1.66994  0.00123789
         556     1.71951     1.67002  0.00123887
         557     1.72014     1.67011   0.0012399
         558     1.72075     1.67021    0.001241
         559     1.72135      1.6703  0.00124215
         560     1.72193     1.67039  0.00124334
         561     1.72249     1.67048  0.00124459
         562     1.72305     1.67058  0.00124589
         563     1.72358     1.67067  0.00124723
         564     1.72411     1.67076  0.00124861
         565     1.72462     1.67086  0.00125003
         566     1.72511     1.67096  0.00125149
         567     1.72559     1.67105  0.00125299
         568     1.72606     1.67115  0.00125452
         569     1.72651     1.67125  0.00125608
         570     1.72695     1.67134  0.00125767
         571     1.72737     1.67144  0.00125929
         572     1.72777     1.67154  0.00126094
         573     1.72816     1.67164   0.0012626
         574     1.72854     1.67174  0.00126429
         575     1.72889     1.67184  0.00126599
         576     1.72924     1.67194  0.00126771
         577     1.72956     1.67204  0.00126944
         578     1.72987     1.67214  0.00127118
         579     1.73016     1.67224  0.00127293
         580     1.73043     1.67234  0.00127468
         581     1.73068     1.67244  0.00127644
         582     1.73091     1.67254  0.00127819
         583     1.73113     1.67264  0.00127994
         584     1.73132     1.67274  0.00128169
         585      1.7315     1.67284  0.00128343
         586     1.73165     1.67294  0.00128515
