#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         540   -0.967003   -0.907689  0.00185198
         541   -0.968323   -0.907801  0.00185195
         542   -0.969616   -0.907915  0.00185204
         543   -0.970885   -0.908031  0.00185226
         544   -0.972129   -0.908149  0.00185259
         545    -0.97334   -0.908269  0.00185305
         546   -0.974527    -0.90839  0.00185363
         547   -0.975688   -0.908513  0.00185432
         548   -0.976823   -0.908638  0.00185512
         549    -0.97793   -0.908764  0.00185603
         550   -0.979009   -0.908892  0.00185704
         551    -0.98007   -0.909021  0.00185816
         552    -0.98111   -0.909152  0.00185938
         553   -0.982117   -0.909283  0.00186069
         554     -0.9831   -0.909417   0.0018621
         555   -0.984067   -0.909551  0.00186359
         556   -0.985008   -0.909687  0.00186518
         557    -0.98592   -0.909824  0.00186684
         558   -0.986816   -0.909962  0.00186859
         559   -0.987688   -0.910101  0.00187041
         560   -0.988537   -0.910241  0.00187231
         561   -0.989368   -0.910382  0.00187428
         562   -0.990179   -0.910524  0.00187631
         563   -0.990967   -0.910667  0.00187841
         564   -0.991735   -0.910811  0.00188057
         565    -0.99248   -0.910955  0.00188279
         566   -0.993196     -0.9111  0.00188506
         567   -0.993895   -0.911246  0.00188739
         568   -0.994577   -0.911393  0.00188976
         569   -0.995234    -0.91154  0.00189217
         570   -0.995863   -0.911688  0.00189463
         571   -0.996472   -0.911837  0.00189712
         572   -0.997058   -0.911986  0.00189964
         573   -0.997619   -0.912135   0.0019022
         574   -0.998156   -0.912285  0.00190478
         575    -0.99867   -0.912435  0.00190738
         576   -0.999157   -0.912586     0.00191
         577   -0.999617   -0.912737  0.00191264
         578    -1.00006   -0.912888  0.00191528
         579    -1.00047   -0.913039  0.00191794
         580    -1.00084   -0.913191   0.0019206
         581     -1.0012   -0.913342  0.00192326
         582    -1.00152   -0.913494  0.00192591
         583    -1.00182   -0.913645  0.00192856
         584    -1.00208   -0.913796  0.00193119
         585    -1.00231   -0.913948  0.00193381
         586    -1.00251   -0.914099   0.0019364
         587    -1.00268    -0.91425  0.00193898
         588    -1.00282     -0.9144  0.00194152
         589    -1.00292   -0.914551  0.00194403
         590      -1.003   -0.914701  0.00194651
