#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         636     1.96837     2.06231  0.00474555
         637      1.9684     2.06216  0.00474039
         638     1.96836     2.06202  0.00473524
         639     1.96827     2.06187   0.0047301
         640     1.96813     2.06172  0.00472498
         641     1.96795     2.06158  0.00471987
         642     1.96772     2.06143  0.00471478
         643     1.96746     2.06128  0.00470971
         644     1.96717     2.06114  0.00470467
         645     1.96684     2.06099  0.00469965
         646     1.96649     2.06084  0.00469465
         647     1.96611      2.0607  0.00468967
         648      1.9657     2.06055  0.00468473
         649     1.96527     2.06041  0.00467981
         650     1.96481     2.06026  0.00467492
         651     1.96433     2.06011  0.00467006
         652     1.96381     2.05996  0.00466523
         653     1.96326     2.05981  0.00466044
         654     1.96267     2.05967  0.00465568
         655     1.96204     2.05952  0.00465096
         656     1.96136     2.05937  0.00464627
         657     1.96064     2.05922  0.00464163
         658     1.95986     2.05907  0.00463703
         659     1.95902     2.05891  0.00463248
         660     1.95811     2.05876  0.00462798
         661     1.95713     2.05861  0.00462353
         662     1.95608     2.05845  0.00461914
         663     1.95494      2.0583  0.00461481
         664     1.95371     2.05814  0.00461055
         665     1.95239     2.05798  0.00460636
         666     1.95096     2.05782  0.00460224
         667     1.94943     2.05766  0.00459821
         668     1.94778     2.05749  0.00459427
         669       1.946     2.05733  0.00459042
         670     1.94411     2.05716  0.00458668
         671     1.94207     2.05699  0.00458305
         672     1.93991     2.05681  0.00457954
         673      1.9376     2.05663  0.00457616
         674     1.93515     2.05645  0.00457292
         675     1.93256     2.05627  0.00456982
         676     1.92983     2.05608  0.00456689
         677     1.92695     2.05589  0.00456413
         678     1.92394      2.0557  0.00456154
         679      1.9208      2.0555  0.00455915
         680     1.91755      2.0553  0.00455695
         681      1.9142     2.05509  0.00455497
         682     1.91076     2.05488  0.00455321
         683     1.90727     2.05466  0.00455167
         684     1.90373     2.05444  0.00455036
         685      1.9002     2.05422  0.00454928
         686      1.8967     2.05399  0.00454844
         687     1.89327     2.05375  0.00454783
