#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         505    -1.53885    -1.54888  0.00724587
         506     -1.5398    -1.54887  0.00723158
         507    -1.54052    -1.54885  0.00721733
         508    -1.54101    -1.54883  0.00720314
         509    -1.54126    -1.54882  0.00718901
         510    -1.54128     -1.5488  0.00717492
         511    -1.54104    -1.54879   0.0071609
         512    -1.54054    -1.54877  0.00714693
         513    -1.53977    -1.54876  0.00713302
         514    -1.53871    -1.54874  0.00711917
         515    -1.53735    -1.54871  0.00710538
         516    -1.53568    -1.54869  0.00709166
         517    -1.53368    -1.54866    0.007078
         518    -1.53135    -1.54863  0.00706441
         519    -1.52866    -1.54859  0.00705091
         520    -1.52561    -1.54854  0.00703749
         521    -1.52216    -1.54849  0.00702416
         522    -1.51831    -1.54844  0.00701094
         523    -1.51403    -1.54837  0.00699785
         524    -1.50931     -1.5483  0.00698489
         525    -1.50415    -1.54821  0.00697209
         526    -1.49853    -1.54812  0.00695947
         527    -1.49244    -1.54801  0.00694707
         528    -1.48586    -1.54789  0.00693491
         529     -1.4788    -1.54776  0.00692303
         530    -1.47126    -1.54762  0.00691147
         531    -1.46324    -1.54746  0.00690028
         532    -1.45474    -1.54729  0.00688951
         533     -1.4458    -1.54709  0.00687922
         534    -1.43642    -1.54689  0.00686946
         535    -1.42663    -1.54666  0.00686029
         536    -1.41647    -1.54642  0.00685179
         537    -1.40597    -1.54616  0.00684402
         538     -1.3952    -1.54588  0.00683705
         539     -1.3842    -1.54558  0.00683094
         540    -1.37303    -1.54526  0.00682576
         541    -1.36178    -1.54492  0.00682157
         542    -1.35051    -1.54456  0.00681841
         543     -1.3393    -1.54418  0.00681632
         544    -1.32823    -1.54379  0.00681534
         545     -1.3174    -1.54337  0.00681548
         546    -1.30687    -1.54294  0.00681675
         547    -1.29673    -1.54249  0.00681913
         548    -1.28706    -1.54202   0.0068226
         549    -1.27792    -1.54154  0.00682711
         550    -1.26939    -1.54104   0.0068326
         551    -1.26151    -1.54054  0.00683901
         552    -1.25432    -1.54002  0.00684625
         553    -1.24785    -1.53949  0.00685423
         554    -1.24212    -1.53895  0.00686284
         555    -1.23711    -1.53841  0.00687199
         556    -1.23283    -1.53786  0.00688157
         557    -1.22924    -1.53731  0.00689149
         558     -1.2263    -1.53675  0.00690164
         559    -1.22395    -1.53619  0.00691194
         560    -1.22212    -1.53563  0.00692231
         561    -1.22075    -1.53507  0.00693269
         562    -1.21974    -1.53451  0.00694302
         563    -1.21902    -1.53395  0.00695327
         564    -1.21848    -1.53339   0.0069634
         565    -1.21804    -1.53283  0.00697341
         566    -1.21762    -1.53227  0.00698329
         567    -1.21714    -1.53172  0.00699306
         568    -1.21653    -1.53116  0.00700273
         569    -1.21573    -1.53061  0.00701233
         570    -1.21469    -1.53005  0.00702189
         571    -1.21339     -1.5295  0.00703146
         572    -1.21179    -1.52894  0.00704107
         573    -1.20991    -1.52839  0.00705076
         574    -1.20775    -1.52783  0.00706057
         575    -1.20534    -1.52727  0.00707053
         576    -1.20273     -1.5267  0.00708067
         577    -1.19995    -1.52614  0.00709101
         578    -1.19707    -1.52557  0.00710156
         579    -1.19416    -1.52499  0.00711232
         580     -1.1913    -1.52442  0.00712329
         581    -1.18855    -1.52384  0.00713445
         582    -1.18601    -1.52326  0.00714577
         583    -1.18374    -1.52268   0.0071572
         584    -1.18181    -1.52209  0.00716871
         585     -1.1803    -1.52151  0.00718022
         586    -1.17926    -1.52093  0.00719168
         587    -1.17876    -1.52034  0.00720302
         588    -1.17882    -1.51976  0.00721415
         589    -1.17947    -1.51918    0.007225
         590    -1.18075    -1.51861  0.00723548
         591    -1.18266    -1.51804  0.00724554
         592     -1.1852    -1.51748  0.00725508
         593    -1.18835    -1.51693  0.00726404
         594    -1.19211    -1.51638  0.00727237
         595    -1.19643    -1.51584     0.00728
         596    -1.20127    -1.51531  0.00728689
         597     -1.2066     -1.5148  0.00729301
         598    -1.21237    -1.51429  0.00729833
         599    -1.21851     -1.5138  0.00730283
         600    -1.22496    -1.51332  0.00730651
         601    -1.23166    -1.51285  0.00730936
         602    -1.23855    -1.51239  0.00731141
         603    -1.24556    -1.51195  0.00731266
         604    -1.25262    -1.51152  0.00731315
         605    -1.25969     -1.5111   0.0073129
         606     -1.2667     -1.5107  0.00731194
         607    -1.27361    -1.51031  0.00731032
         608    -1.28036    -1.50993  0.00730808
         609    -1.28693    -1.50956  0.00730525
         610    -1.29326    -1.50921  0.00730187
         611    -1.29934    -1.50887  0.00729799
         612    -1.30514    -1.50853  0.00729366
         613    -1.31065    -1.50821   0.0072889
         614    -1.31585     -1.5079  0.00728376
         615    -1.32073    -1.50759  0.00727827
         616    -1.32529     -1.5073  0.00727247
         617    -1.32952    -1.50701  0.00726639
         618    -1.33343    -1.50673  0.00726006
         619    -1.33703    -1.50645   0.0072535
         620    -1.34032    -1.50619  0.00724675
         621    -1.34332    -1.50592  0.00723982
         622    -1.34602    -1.50567  0.00723275
         623    -1.34844    -1.50541  0.00722554
         624    -1.35059    -1.50517  0.00721822
         625     -1.3525    -1.50492   0.0072108
         626    -1.35417    -1.50468   0.0072033
         627    -1.35561    -1.50444  0.00719574
         628    -1.35685    -1.50421  0.00718812
         629    -1.35789    -1.50398  0.00718045
         630    -1.35875    -1.50375  0.00717275
         631    -1.35944    -1.50352  0.00716503
         632    -1.35998    -1.50329  0.00715729
         633    -1.36037    -1.50306  0.00714955
         634    -1.36063    -1.50284   0.0071418
         635    -1.36078    -1.50262  0.00713405
         636    -1.36081    -1.50239  0.00712632
         637    -1.36076    -1.50217   0.0071186
         638    -1.36062    -1.50195   0.0071109
         639     -1.3604    -1.50173  0.00710322
         640    -1.36012    -1.50151  0.00709557
         641    -1.35978    -1.50128  0.00708794
         642    -1.35938    -1.50106  0.00708035
         643    -1.35893    -1.50084  0.00707278
         644    -1.35844    -1.50062  0.00706526
         645     -1.3579     -1.5004  0.00705777
         646    -1.35733    -1.50018  0.00705032
         647    -1.35671    -1.49996   0.0070429
         648    -1.35605    -1.49973  0.00703554
         649    -1.35536    -1.49951  0.00702821
         650    -1.35463    -1.49929  0.00702093
         651    -1.35385    -1.49907   0.0070137
         652    -1.35302    -1.49884  0.00700652
         653    -1.35213    -1.49862  0.00699939
         654    -1.35118    -1.49839  0.00699232
         655    -1.35016    -1.49817   0.0069853
