# VELOCITY:     AVE_POFV:        ERROR:
     3.11127    0.155131   0.0105879
     3.29983   0.0982778  0.00922087
     3.48839   0.0740406  0.00768757
     3.67696   0.0569951  0.00539861
     3.86552   0.0275099  0.00383182
     4.05408   0.0171467  0.00397847
     4.24264  0.00757337   0.0023978
      4.4312  0.00300561  0.00115752
     4.61976  0.00111713 0.000678745
     4.80833 0.000368285  0.00035659
     4.99689 0.000116624  0.00011292
     5.18545  8.0818e-05 7.82517e-05
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00442905  0.00116482
    0.282843   0.0358445  0.00353728
    0.471405    0.104745  0.00833489
    0.659966    0.158306  0.00740866
    0.848528    0.254438   0.0118175
     1.03709    0.341843   0.0167271
     1.22565    0.421568   0.0161696
     1.41421    0.499515   0.0171362
     1.60278    0.525755    0.020204
     1.79134    0.516502   0.0166946
      1.9799    0.474592    0.017631
     2.16846    0.426957   0.0204586
     2.35702     0.36257   0.0123308
     2.54558    0.314699   0.0213563
     2.73415    0.252076   0.0123566
     2.92271    0.162719   0.0135785
     3.11127    0.153591   0.0100765
     3.29983    0.103191  0.00990127
     3.48839   0.0757184  0.00741619
     3.67696   0.0567505  0.00508659
     3.86552   0.0275958  0.00360738
     4.05408   0.0168323  0.00375684
     4.24264  0.00758715  0.00225679
      4.4312  0.00334393   0.0011378
     4.61976  0.00141633 0.000701673
     4.80833 0.000530523 0.000370688
     4.99689 0.000109763 0.000106486
     5.18545  7.6064e-05  7.3793e-05
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00418572  0.00112524
    0.282843   0.0350289   0.0034335
    0.471405    0.103284  0.00799881
    0.659966    0.163437  0.00859203
    0.848528    0.258383   0.0118011
     1.03709    0.342436   0.0158083
     1.22565    0.422908   0.0153267
     1.41421    0.501166   0.0162636
     1.60278     0.52489      0.0191
     1.79134    0.515108   0.0158252
      1.9799    0.471323   0.0169518
     2.16846    0.424101   0.0195203
     2.35702    0.368055   0.0128075
     2.54558    0.311925   0.0203492
     2.73415    0.248778   0.0121024
     2.92271    0.161961   0.0128453
     3.11127    0.152979  0.00953521
     3.29983     0.10293  0.00935465
     3.48839   0.0762522  0.00702336
     3.67696   0.0563067  0.00482333
     3.86552   0.0285316  0.00352625
     4.05408   0.0165492  0.00355878
     4.24264  0.00743844  0.00213631
      4.4312  0.00319726    0.001084
     4.61976  0.00147132 0.000664842
     4.80833 0.000501049 0.000351264
     4.99689 0.000103665 0.000100745
     5.18545 7.18383e-05 6.98142e-05
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00429967  0.00107177
    0.282843   0.0351917  0.00325665
    0.471405    0.104452  0.00766264
    0.659966    0.168532  0.00953184
    0.848528    0.258028   0.0111854
     1.03709    0.342178   0.0149784
     1.22565    0.423331   0.0145258
     1.41421    0.499148   0.0155323
     1.60278    0.526291   0.0181461
     1.79134    0.515631    0.015001
      1.9799    0.469995   0.0161115
     2.16846    0.421533   0.0186611
     2.35702    0.364598   0.0125911
     2.54558    0.307728   0.0197062
     2.73415    0.250906    0.011651
     2.92271    0.166717   0.0130201
     3.11127    0.153579  0.00905224
     3.29983     0.10125  0.00901178
     3.48839   0.0737931  0.00707114
     3.67696   0.0554185  0.00465053
     3.86552   0.0297824  0.00355558
     4.05408   0.0167369  0.00337643
     4.24264  0.00846409  0.00225669
      4.4312  0.00335893  0.00103894
     4.61976  0.00171435 0.000672807
     4.80833 0.000474678 0.000333765
     4.99689 9.82093e-05 9.55899e-05
     5.18545 6.80573e-05 6.62421e-05
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00410269  0.00103612
    0.282843   0.0339878  0.00330886
    0.471405    0.104139   0.0072859
    0.659966     0.16903  0.00906826
    0.848528    0.257767   0.0106291
     1.03709    0.342404   0.0142312
     1.22565    0.424019   0.0138159
     1.41421    0.498481     0.01477
     1.60278     0.52201   0.0177366
     1.79134    0.516972   0.0143107
      1.9799    0.474843   0.0160186
     2.16846    0.424912   0.0180314
     2.35702    0.363459    0.012013
     2.54558    0.306734    0.018746
     2.73415    0.250461   0.0110769
     2.92271     0.16743   0.0123886
     3.11127    0.150448  0.00912508
     3.29983    0.100258  0.00861568
     3.48839    0.074283  0.00673454
     3.67696   0.0566217  0.00457102
     3.86552   0.0309286  0.00355774
     4.05408   0.0163649  0.00322803
     4.24264  0.00821439  0.00215762
      4.4312  0.00319098  0.00100047
     4.61976  0.00162864 0.000644604
     4.80833 0.000450944  0.00031792
     4.99689 9.32988e-05 9.09364e-05
     5.18545 6.46544e-05 6.30174e-05
     5.37401           0           0
     5.56257           0           0
