# DISTANCE:     AVE_GOFR:        ERROR:
    0.859263 5.40341e-06 5.09439e-06
    0.884913  0.00124312 0.000111258
    0.910562   0.0249201   0.0005855
    0.936212    0.163043  0.00220222
    0.961861     0.55968  0.00427838
    0.987511     1.19406  0.00537658
     1.01316     1.86546  0.00620895
     1.03881     2.32821     0.00677
     1.06446     2.54941  0.00594513
     1.09011     2.54378  0.00544644
     1.11576     2.40264  0.00673121
     1.14141      2.1986  0.00524594
     1.16706     1.97151  0.00519212
     1.19271     1.76059  0.00488957
     1.21836     1.56471  0.00505081
     1.24401     1.39806   0.0034503
     1.26966     1.24536  0.00257684
     1.29531      1.1234  0.00287731
     1.32096     1.02734  0.00286502
     1.34661    0.947066  0.00261772
     1.37226    0.875215  0.00253065
     1.39791    0.817741   0.0017581
     1.42355    0.778758  0.00220784
      1.4492    0.740313  0.00299217
     1.47485    0.712493  0.00221834
      1.5005    0.691505  0.00257399
     1.52615    0.680437  0.00295131
      1.5518    0.673018  0.00292986
     1.57745    0.672943  0.00233001
      1.6031    0.677049   0.0019178
     1.62875    0.685693  0.00217581
      1.6544    0.700056  0.00257769
     1.68005    0.720827  0.00202497
      1.7057    0.748156  0.00285497
     1.73135    0.778218   0.0024058
       1.757    0.811416  0.00205974
     1.78265    0.847647  0.00228007
      1.8083    0.891918  0.00194159
     1.83395    0.933187  0.00294786
      1.8596    0.971792  0.00324211
     1.88525     1.01689  0.00347886
      1.9109      1.0559  0.00265188
     1.93655     1.09297  0.00368554
      1.9622     1.12809  0.00299348
     1.98785     1.15854  0.00247202
      2.0135     1.18292  0.00219351
     2.03915     1.20058  0.00217666
      2.0648     1.21529  0.00203424
     2.09045     1.21582  0.00176053
      2.1161     1.21181  0.00257038
     2.14174     1.19665  0.00174294
     2.16739     1.17593  0.00315661
     2.19304     1.15201  0.00151517
     2.21869     1.12684  0.00182224
     2.24434     1.09865  0.00322486
     2.26999     1.06791  0.00156963
     2.29564     1.04122  0.00302275
     2.32129     1.01599  0.00262999
     2.34694    0.991867  0.00323465
     2.37259    0.971077  0.00245382
     2.39824    0.950981  0.00251254
     2.42389    0.934264  0.00215095
     2.44954    0.920195  0.00200973
     2.47519    0.909288  0.00205661
