#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         609     1.94763     1.93098  0.00110766
         610     1.94753       1.931  0.00110618
         611     1.94742     1.93103   0.0011047
         612     1.94729     1.93106  0.00110321
         613     1.94714     1.93108  0.00110172
         614     1.94698     1.93111  0.00110023
         615      1.9468     1.93114  0.00109874
         616     1.94661     1.93116  0.00109724
         617      1.9464     1.93118  0.00109574
         618     1.94618     1.93121  0.00109424
         619     1.94595     1.93123  0.00109273
         620      1.9457     1.93126  0.00109122
         621     1.94544     1.93128   0.0010897
         622     1.94517      1.9313  0.00108818
         623     1.94489     1.93132  0.00108665
         624      1.9446     1.93134  0.00108512
         625     1.94429     1.93137  0.00108358
         626     1.94397     1.93139  0.00108203
         627     1.94365      1.9314  0.00108048
         628     1.94331     1.93142  0.00107893
         629     1.94297     1.93144  0.00107737
         630     1.94262     1.93146  0.00107581
         631     1.94226     1.93148  0.00107424
         632     1.94189     1.93149  0.00107266
         633     1.94151     1.93151  0.00107109
         634     1.94113     1.93152   0.0010695
         635     1.94074     1.93154  0.00106792
         636     1.94034     1.93155  0.00106633
         637     1.93994     1.93157  0.00106474
         638     1.93954     1.93158  0.00106314
         639     1.93912     1.93159  0.00106154
         640     1.93871      1.9316  0.00105994
         641     1.93829     1.93161  0.00105834
         642     1.93786     1.93162  0.00105674
         643     1.93744     1.93163  0.00105513
         644     1.93701     1.93164  0.00105353
         645     1.93657     1.93165  0.00105192
         646     1.93614     1.93165  0.00105032
         647      1.9357     1.93166  0.00104871
         648     1.93527     1.93167  0.00104711
         649     1.93483     1.93167  0.00104551
         650     1.93439     1.93167   0.0010439
         651     1.93395     1.93168  0.00104231
         652     1.93351     1.93168  0.00104071
         653     1.93307     1.93168  0.00103912
         654     1.93264     1.93168  0.00103753
         655      1.9322     1.93169  0.00103595
         656     1.93176     1.93169  0.00103437
         657     1.93133     1.93168   0.0010328
         658      1.9309     1.93168  0.00103123
         659     1.93046     1.93168  0.00102966
         660     1.93004     1.93168  0.00102811
         661     1.92961     1.93168  0.00102656
         662     1.92918     1.93167  0.00102501
         663     1.92876     1.93167  0.00102348
         664     1.92834     1.93166  0.00102195
         665     1.92793     1.93166  0.00102043
         666     1.92751     1.93165  0.00101891
         667     1.92711     1.93164  0.00101741
         668      1.9267     1.93164  0.00101591
         669      1.9263     1.93163  0.00101442
         670      1.9259     1.93162  0.00101295
         671     1.92551     1.93161  0.00101148
         672     1.92512      1.9316  0.00101002
         673     1.92474     1.93159  0.00100857
         674     1.92436     1.93158  0.00100713
         675     1.92399     1.93157   0.0010057
         676     1.92363     1.93156  0.00100428
         677     1.92328     1.93155  0.00100287
         678     1.92293     1.93153  0.00100147
         679      1.9226     1.93152  0.00100008
         680     1.92227     1.93151 0.000998707
         681     1.92196     1.93149 0.000997339
         682     1.92166     1.93148  0.00099598
         683     1.92137     1.93146 0.000994632
         684      1.9211     1.93145 0.000993293
         685     1.92085     1.93143 0.000991964
         686     1.92061     1.93142 0.000990643
         687      1.9204      1.9314 0.000989331
         688     1.92021     1.93138 0.000988027
         689     1.92004     1.93137  0.00098673
         690      1.9199     1.93135  0.00098544
         691     1.91979     1.93133 0.000984156
         692     1.91971     1.93132 0.000982877
         693     1.91966      1.9313 0.000981603
         694     1.91964     1.93128 0.000980332
         695     1.91966     1.93127 0.000979064
         696     1.91971     1.93125 0.000977798
         697      1.9198     1.93123 0.000976533
         698     1.91994     1.93122 0.000975268
         699     1.92011      1.9312 0.000974002
         700     1.92033     1.93119 0.000972735
         701     1.92058     1.93117 0.000971465
         702     1.92088     1.93116 0.000970192
         703     1.92123     1.93114 0.000968914
         704     1.92161     1.93113 0.000967632
         705     1.92204     1.93112 0.000966346
         706     1.92252      1.9311 0.000965054
         707     1.92303     1.93109 0.000963756
         708     1.92358     1.93108 0.000962454
         709     1.92417     1.93107 0.000961145
         710      1.9248     1.93106 0.000959832
         711     1.92546     1.93106 0.000958515
         712     1.92615     1.93105 0.000957193
         713     1.92687     1.93104 0.000955869
         714     1.92762     1.93104 0.000954542
         715     1.92839     1.93103 0.000953214
         716     1.92919     1.93103 0.000951886
         717        1.93     1.93103  0.00095056
         718     1.93082     1.93103 0.000949236
         719     1.93165     1.93103 0.000947916
         720      1.9325     1.93103 0.000946602
         721     1.93334     1.93104 0.000945294
         722     1.93419     1.93104 0.000943995
         723     1.93503     1.93105 0.000942706
         724     1.93587     1.93105 0.000941427
         725      1.9367     1.93106 0.000940161
         726     1.93753     1.93107 0.000938908
         727     1.93833     1.93108  0.00093767
         728     1.93913     1.93109 0.000936447
         729      1.9399      1.9311  0.00093524
